 76.59 73.50 100.58 100.59 71.17 52.97 36.15 57.47 100.47 78.67 51.99 100.53 21.01 36.41 100.77 49.39 72.97 47.14
 84.77 70.93 97.19 86.96 72.04 71.58 39.52 71.71 101.09 79.78 48.78 95.09 29.52 39.79 99.18 45.46 83.80 45.73
 71.35 68.76 92.50 51.93 58.39 87.08 46.81 66.94 99.33 73.81 41.22 80.19 17.46 46.83 80.44 39.10 69.79 42.37
 57.15 67.05 76.90 40.49 57.79 79.35 45.34 55.89 80.71 59.38 35.14 62.32 16.67 45.28 68.12 42.06 76.25 34.94
 60.43 64.13 85.69 37.41 53.05 67.67 29.22 56.55 80.03 61.81 36.77 65.96 16.05 29.32 75.08 40.29 82.93 37.58
 48.56 50.89 78.94 29.94 64.00 63.10 51.95 64.47 77.19 56.49 30.15 59.59 11.95 51.87 64.63 38.76 73.32 33.65
 46.66 45.31 78.33 27.10 76.72 62.82 52.31 67.24 61.27 57.47 28.82 48.44 21.02 52.25 60.84 37.19 73.17 33.08
 50.07 42.85 79.37 25.19 86.53 61.07 42.55 67.08 65.81 64.45 29.49 50.07 25.19 42.60 68.80 31.30 68.53 34.27
 49.80 48.15 79.63 29.84 86.48 52.36 38.76 67.12 82.94 67.98 30.04 51.29 26.46 38.90 78.57 30.89 74.35 36.39
 42.82 45.65 72.28 33.03 81.01 48.40 67.95 78.95 70.29 61.05 26.40 48.13 37.56 67.91 67.81 30.65 76.09 32.37
 39.73 39.42 71.22 32.84 69.04 48.58 62.14 81.76 74.98 63.05 24.19 42.05 29.26 62.15 69.62 26.59 86.73 32.84
 39.10 42.93 72.21 29.88 66.94 46.87 59.78 90.60 76.17 63.40 23.96 40.75 42.66 59.88 75.74 25.85 79.03 34.31
 36.03 40.31 70.87 34.69 73.56 45.59 61.35 96.97 67.67 63.19 25.96 35.65 47.19 61.49 75.13 26.16 80.50 37.92
 39.28 34.66 65.82 32.16 82.91 44.20 64.05 97.36 54.53 60.99 33.42 31.32 37.62 64.15 74.89 19.84 82.38 37.66
 50.32 31.84 69.27 22.85 90.62 43.15 62.18 100.36 48.57 64.96 33.73 26.07 36.04 62.28 71.13 20.99 78.21 45.24
 49.32 29.05 64.50 18.36 101.96 35.86 57.00 101.71 38.65 57.82 27.61 22.39 48.84 57.16 63.10 27.04 55.75 43.31
 39.49 28.59 54.15 17.49 92.07 32.15 60.00 92.23 31.26 50.51 23.29 23.90 38.15 60.05 56.54 26.35 32.90 37.73
 38.06 25.78 57.54 19.73 76.99 30.97 54.14 81.64 28.26 55.84 20.66 25.09 28.82 54.17 46.26 25.66 41.36 41.73
 29.44 26.30 48.61 19.52 66.68 31.03 63.94 56.60 27.16 48.29 15.38 19.28 30.07 63.75 45.36 25.72 31.82 31.87
 24.16 22.21 44.21 19.03 75.42 31.98 71.41 51.49 22.49 47.53 13.24 15.65 29.91 71.13 45.35 26.16 28.07 25.66
 24.83 20.34 41.06 17.42 62.19 35.12 32.26 52.25 23.04 49.35 10.52 16.31 37.93 32.33 46.37 22.77 19.39 27.48
 27.99 21.00 41.64 19.60 64.45 40.21 62.96 52.62 27.75 48.50 11.80 23.39 15.89 62.73 51.93 18.48 30.98 34.48
 29.66 30.32 41.37 23.75 57.87 43.10 60.59 52.46 28.24 53.19 13.85 22.64 21.46 60.41 57.55 15.38 29.50 43.00
 34.34 49.86 47.21 23.17 50.43 37.86 58.09 54.67 35.49 62.48 14.47 27.23 31.95 57.99 66.01 9.78 33.00 50.31
